parent_uid	child_uid	child_asset_type
L0C04GGTY	L0C04GKQB	.png.ldcc
L0C04GGTY	K0C048159	.jpg.ldcc
L0C04GGTY	K0C048158	.jpg.ldcc
L0C04GGTY	L0C04GLNE	.jpg.ldcc
L0C04GGTY	L0C04GLNJ	.jpg.ldcc
L0C04GGTY	L0C04GLNH	.jpg.ldcc
L0C04GGTY	L0C04GLNG	.jpg.ldcc
L0C04GGTY	L0C04GLNF	.jpg.ldcc
L0C04GGTY	L0C04GLNI	.jpg.ldcc
L0C04GGTY	L0C04GLOY	.ltf.xml
L0C04GGTY	L0C04GIYA	.jpg.ldcc
L0C04GGTY	L0C04GIY6	.jpg.ldcc
L0C04GGTY	L0C04GIY9	.jpg.ldcc
L0C04GGTY	L0C04GIYI	.jpg.ldcc
L0C04GGTY	L0C04GIYF	.jpg.ldcc
L0C04GGTY	L0C04GIY8	.jpg.ldcc
L0C04GGTY	L0C04GIY7	.jpg.ldcc
L0C04GGTY	L0C04GIYG	.jpg.ldcc
L0C04GGTY	L0C04GIYH	.jpg.ldcc
L0C04GGTY	L0C04GIYD	.jpg.ldcc
L0C04GGTY	L0C04GIYK	.jpg.ldcc
L0C04GGTY	L0C04GIYL	.jpg.ldcc
L0C04GGTY	L0C04GIYC	.jpg.ldcc
L0C04GGTY	L0C04GIY4	.jpg.ldcc
L0C04GGTY	L0C04GIYJ	.jpg.ldcc
L0C04GGTY	L0C04GIYE	.jpg.ldcc
L0C04GGTY	L0C04GIYB	.jpg.ldcc
L0C04GGTY	L0C04GIY5	.jpg.ldcc
L0C04GGTY	L0C04GJT7	.ltf.xml
L0C04GGTY	L0C04GGUP	.jpg.ldcc
L0C04GGTY	L0C04GGUN	.jpg.ldcc
L0C04GGTY	L0C04GGVN	.jpg.ldcc
L0C04GGTY	L0C04GGVP	.jpg.ldcc
L0C04GGTY	L0C04GGVQ	.jpg.ldcc
L0C04GGTY	L0C04GGVO	.jpg.ldcc
L0C04GGTY	L0C04GGUQ	.jpg.ldcc
L0C04GGTY	L0C04GGU3	.jpg.ldcc
L0C04GGTY	L0C04GH05	.ltf.xml
L0C04GGTY	L0C04GGVI	.png.ldcc
L0C04GGTY	L0C04GGUF	.png.ldcc
L0C04GGTY	L0C04GGUO	.png.ldcc
L0C04GGTY	L0C04GGUG	.png.ldcc
